"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",29,"Mike Adams*",33,"SS",16,16,195,"5-10","Delaware","3/24/1981","10",9,""
"2",83,"Dwayne Allen",24,"TE",13,13,255,"6-3","Clemson","2/24/1990","2",3,"Indianapolis Colts / 3rd / 64th pick / 2012"
"3",32,"Colt Anderson",29,"",15,0,194,"5-10","Montana","10/25/1985","4",1,""
"4",44,"Ahmad Bradshaw",28,"rb",10,1,195,"5-11","Marshall","3/19/1986","7",5,"New York Giants / 7th / 250th pick / 2007"
"5",25,"Jalil Brown",27,"",5,0,202,"6-0","Colorado","10/14/1987","3",0,"Kansas City Chiefs / 4th / 118th pick / 2011"
"6",38,"Sergio Brown",26,"FS",15,8,210,"6-2","Notre Dame","5/22/1988","4",4,""
"7",20,"Darius Butler",28,"cb",14,4,180,"5-10","Connecticut","3/18/1986","5",2,"New England Patriots / 2nd / 41st pick / 2009"
"8",55,"Victor Butler",27,"",2,0,231,"6-2","Oregon St.","7/29/1987","5",0,"Dallas Cowboys / 4th / 110th pick / 2009"
"9",53,"Chris Carter",25,"",1,0,245,"6-1","Fresno St.","4/6/1989","3",0,"Pittsburgh Steelers / 5th / 162nd pick / 2011"
"10",74,"Anthony Castonzo",26,"LT",16,16,305,"6-7","Boston Col.","8/9/1988","3",10,"Indianapolis Colts / 1st / 22nd pick / 2011"
"11",96,"Josh Chapman",25,"NT",16,15,316,"6-1","Alabama","6/10/1989","2",7,"Indianapolis Colts / 5th / 136th pick / 2012"
"12",78,"Gosder Cherilus",30,"RT",13,13,315,"6-7","Boston Col.","6/28/1984","6",8,"Detroit Lions / 1st / 17th pick / 2008"
"13",16,"Josh Cribbs",31,"",6,0,192,"6-1","Kent St.","6/9/1983","9",0,""
"14",21,"Vontae Davis*",26,"RCB",15,15,205,"6-0","Illinois","5/27/1988","5",10,"Miami Dolphins / 1st / 25th pick / 2009"
"15",84,"Jack Doyle",24,"te",16,1,254,"6-5","West. Kentucky","5/5/1990","1",1,""
"16",80,"Coby Fleener",26,"TE",16,12,250,"6-6","Stanford","9/20/1988","2",7,"Indianapolis Colts / 2nd / 34th pick / 2012"
"17",50,"Jerrell Freeman",28,"LB",12,12,268,"6-1","Mary Hardin-Baylor","5/1/1986","2",6,""
"18",27,"Josh Gordy",27,"fs",16,1,195,"5-11","Central Michigan","2/9/1987","4",2,""
"19",26,"Winston Guy",24,"",3,NA,218,"6-1","Kentucky","4/23/1990","2",0,"Seattle Seahawks / 6th / 181st pick / 2012"
"20",72,"Jonotthan Harrison",23,"C",15,10,304,"6-4","Florida","8/25/1991","Rook",6,""
"21",48,"Mario Harvey",27,"",3,0,250,"6-0","Marshall","8/10/1987","2",NA,""
"22",8,"Matt Hasselbeck",39,"",4,0,223,"6-4","Boston Col.","9/25/1975","15",1,"Green Bay Packers / 6th / 187th pick / 1998"
"23",36,"Dan Herron",25,"rb",16,3,212,"5-10","Ohio St.","3/21/1989","2",4,"Cincinnati Bengals / 6th / 191st pick / 2012"
"24",13,"T.Y. Hilton*",25,"WR",15,15,183,"5-10","Florida International","11/14/1989","2",12,"Indianapolis Colts / 3rd / 92nd pick / 2012"
"25",62,"Khaled Holmes",24,"c",5,2,302,"6-3","USC","1/19/1990","1",1,"Indianapolis Colts / 4th / 121st pick / 2013"
"26",95,"Montori Hughes",24,"nt",12,1,329,"6-4","Tenn-Martin","8/25/1990","1",2,"Indianapolis Colts / 5th / 139th pick / 2013"
"27",54,"Andrew Jackson",22,"",13,0,254,"6-1","West. Kentucky","3/16/1992","Rook",1,"Indianapolis Colts / 6th / 203rd pick / 2014"
"28",52,"D'Qwell Jackson*",31,"MLB",16,16,230,"6-0","Maryland","9/26/1983","8",12,"Cleveland Browns / 2nd / 34th pick / 2006"
"29",99,"Ricky Jean-Francois",28,"DT",16,13,295,"6-3","LSU","11/23/1986","5",6,"San Francisco 49ers / 7th / 244th pick / 2009"
"30",59,"Cam Johnson",24,"",1,0,267,"6-3","Virginia","5/24/1990","2",0,"San Francisco 49ers / 7th / 237th pick / 2012"
"31",97,"Arthur Jones",28,"dt",9,3,301,"6-3","Syracuse","6/3/1986","4",2,"Baltimore Ravens / 5th / 157th pick / 2010"
"32",94,"Zach Kerr",24,"",12,0,310,"6-2","Delaware","8/29/1990","Rook",1,""
"33",30,"LaRon Landry",30,"fs",11,6,214,"6-1","LSU","10/14/1984","7",3,"Washington Redskins / 1st / 6th pick / 2007"
"34",60,"Lance Louis",29,"rg",9,7,303,"6-2","San Diego St.","4/24/1985","5",4,"Chicago Bears / 7th / 246th pick / 2009"
"35",12,"Andrew Luck*",25,"QB",16,16,235,"6-3","Stanford","9/12/1989","2",16,"Indianapolis Colts / 1st / 1st pick / 2012"
"36",1,"Pat McAfee*+",27,"",16,0,228,"5-11","West Virginia","5/2/1987","5",3,"Indianapolis Colts / 7th / 222nd pick / 2009"
"37",31,"Dewey McDonald",24,"",12,0,220,"6-0","California (PA)","6/10/1990","Rook",1,""
"38",57,"Josh McNary",26,"lb",15,4,251,"6-0","Army","4/10/1988","1",3,""
"39",64,"Jamon Meredith",28,"",4,0,289,"6-4","South Carolina","5/11/1986","5",0,"Green Bay Packers / 5th / 162nd pick / 2009"
"40",75,"Jack Mewhort",23,"LG",14,14,309,"6-6","Ohio St.","9/30/1991","Rook",8,"Indianapolis Colts / 2nd / 59th pick / 2014"
"41",10,"Donte Moncrief",21,"wr",16,2,221,"6-2","Mississippi","8/6/1993","Rook",4,"Indianapolis Colts / 3rd / 90th pick / 2014"
"42",51,"Henoc Muamba",25,"",13,0,230,"6-0","St. Francis Xavier","2/23/1989","Rook",1,""
"43",91,"Jonathan Newsome",23,"lb",16,1,247,"6-3","Ball St.","1/22/1991","Rook",2,"Indianapolis Colts / 5th / 166th pick / 2014"
"44",14,"Hakeem Nicks",26,"wr",16,6,210,"6-0","North Carolina","1/14/1988","5",4,"New York Giants / 1st / 29th pick / 2009"
"45",71,"Xavier Nixon",24,"rt",4,1,321,"6-6","Florida","9/17/1990","1",1,""
"46",45,"Matt Overton",29,"",16,0,254,"6-0","West. Washington","7/6/1985","2",1,""
"47",55,"Shaun Phillips",33,"",5,0,260,"6-3","Purdue","5/13/1981","10",0,"San Diego Chargers / 4th / 98th pick / 2004"
"48",23,"Loucheiz Purifoy",22,"",11,0,189,"6-1","Florida","12/16/1992","Rook",1,""
"49",73,"Kelcy Quarles",22,"",2,0,294,"6-4","South Carolina","1/23/1992","Rook",0,""
"50",90,"Cory Redding",34,"DE",16,16,285,"6-4","Texas","11/15/1980","11",8,"Detroit Lions / 3rd / 66th pick / 2003"
"51",76,"Joe Reitz",29,"rg",10,4,256,"6-7","West. Michigan","8/24/1985","3",3,""
"52",34,"Trent Richardson",24,"RB",15,12,228,"5-9","Alabama","7/10/1990","2",5,"Cleveland Browns / 1st / 3rd pick / 2012"
"53",47,"Weslye Saunders",25,"",1,0,270,"6-5","South Carolina","1/16/1989","3",0,""
"54",53,"A.Q. Shipley",28,"c",15,5,290,"5-11","Penn St.","5/22/1986","5",4,"Pittsburgh Steelers / 7th / 226th pick / 2009"
"55",58,"Andy Studebaker",29,"lb",13,1,251,"6-3","Wheaton","9/16/1985","6",2,"Philadelphia Eagles / 6th / 203rd pick / 2008"
"56",69,"Hugh Thornton",23,"RG",10,8,320,"6-3","Illinois","6/28/1991","1",5,"Indianapolis Colts / 3rd / 86th pick / 2013"
"57",37,"Zurlon Tipton",24,"",6,0,221,"6-0","Central Michigan","4/27/1990","Rook",1,""
"58",28,"Greg Toler",29,"LCB",15,15,191,"5-11","St. Paul's","1/2/1985","5",6,"Arizona Cardinals / 4th / 131st pick / 2009"
"59",4,"Adam Vinatieri*+",42,"",16,0,202,"6-0","South Dakota St.","12/28/1972","18",5,""
