"","X","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr.","team_abbr","year"
"14972",21,"RCB","Mike Jenkins",26,"3",12,"0.0 sacks, 1 interception, 0 fumbles recovered","Dallas Cowboys / 1st / 25th pick / 2008","dal",2011
"14973",22,"SS","Abram Elam",30,"5",16,"0.0 sacks, 0 interceptions, 1 fumble recovered","","dal",2011
"14974",23,"FS","Gerald Sensabaugh",28,"6",16,"0.0 sacks, 2 interceptions, 2 fumbles recovered","Jacksonville Jaguars / 5th / 157th pick / 2005","dal",2011
"14975",2,"QB","Tony Romo",32,"8",16,"425 for 648, 4,903 yards, 28 td, 19 int, & 30 rushes for 49 yards and 1 td","","dal",2012
"14976",3,"RB","DeMarco Murray",24,"1",10,"161 rushes for 663 yards, 4 td, & 34 catches for 247 yards and 0 td","Dallas Cowboys / 3rd / 71st pick / 2011","dal",2012
"14977",4,"WR","Miles Austin",28,"6",15,"66 catches for 943 yards, 6 td","","dal",2012
"14978",5,"WR","Dez Bryant",24,"2",14,"92 catches for 1,382 yards, 12 td, & 2 rushes for -5 yards and 0 td","Dallas Cowboys / 1st / 24th pick / 2010","dal",2012
"14979",6,"TE","John Phillips",25,"3",9,"8 catches for 55 yards, 1 td","Dallas Cowboys / 6th / 208th pick / 2009","dal",2012
"14980",7,"TE","Jason Witten*",30,"9",16,"110 catches for 1,039 yards, 3 td","Dallas Cowboys / 3rd / 69th pick / 2003","dal",2012
"14981",8,"LT","Tyron Smith",22,"1",15,"","Dallas Cowboys / 1st / 9th pick / 2011","dal",2012
"14982",9,"LG","Nate Livings",30,"4",16,"","","dal",2012
"14983",10,"C","Ryan Cook",29,"6",11,"1 fumble recovered","Minnesota Vikings / 2nd / 51st pick / 2006","dal",2012
"14984",11,"RG","Mackenzy Bernadeau",26,"4",16,"","Carolina Panthers / 7th / 250th pick / 2008","dal",2012
"14985",12,"RT","Doug Free",28,"5",16,"1 fumble recovered","Dallas Cowboys / 4th / 122nd pick / 2007","dal",2012
"14986",14,"DT","Jason Hatcher",30,"6",16,"","Dallas Cowboys / 3rd / 92nd pick / 2006","dal",2012
"14987",15,"MLB","Bruce Carter",24,"1",11,"","Dallas Cowboys / 2nd / 40th pick / 2011","dal",2012
"14988",16,"LB","Anthony Spencer*",28,"5",14,"","Dallas Cowboys / 1st / 26th pick / 2007","dal",2012
"14989",17,"LB","DeMarcus Ware*",30,"7",16,"","Dallas Cowboys / 1st / 11th pick / 2005","dal",2012
"14990",18,"LCB","Brandon Carr",26,"4",16,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Kansas City Chiefs / 5th / 140th pick / 2008","dal",2012
"14991",19,"RCB","Morris Claiborne",22,"Rook",15,"0.0 sacks, 1 interception, 2 fumbles recovered","Dallas Cowboys / 1st / 6th pick / 2012","dal",2012
"14992",20,"SS","Danny McCray",24,"2",10,"0.0 sacks, 1 interception, 0 fumbles recovered","","dal",2012
"14993",21,"FS","Gerald Sensabaugh",29,"7",15,"","Jacksonville Jaguars / 5th / 157th pick / 2005","dal",2012
"14994",2,"QB","Tony Romo",33,"9",15,"342 for 535, 3,828 yards, 31 td, 10 int, & 20 rushes for 38 yards and 0 td","","dal",2013
"14995",3,"RB","DeMarco Murray*",25,"2",14,"217 rushes for 1,121 yards, 9 td, & 53 catches for 350 yards and 1 td","Dallas Cowboys / 3rd / 71st pick / 2011","dal",2013
"14996",4,"WR","Miles Austin",29,"7",8,"24 catches for 244 yards, 0 td","","dal",2013
"14997",5,"WR","Dez Bryant*",25,"3",16,"93 catches for 1,233 yards, 13 td, & 1 rush for 1 yards and 0 td","Dallas Cowboys / 1st / 24th pick / 2010","dal",2013
"14998",6,"TE","James Hanna",24,"1",8,"12 catches for 73 yards, 0 td","Dallas Cowboys / 6th / 186th pick / 2012","dal",2013
"14999",7,"TE","Jason Witten*",31,"10",16,"73 catches for 851 yards, 8 td","Dallas Cowboys / 3rd / 69th pick / 2003","dal",2013
"15000",8,"LT","Tyron Smith*",23,"2",16,"1 fumble recovered","Dallas Cowboys / 1st / 9th pick / 2011","dal",2013
"15001",9,"LG","Ronald Leary",24,"1",16,"","","dal",2013
"15002",10,"C","Travis Frederick",22,"Rook",16,"","Dallas Cowboys / 1st / 31st pick / 2013","dal",2013
"15003",11,"RG","Mackenzy Bernadeau",27,"5",11,"","Carolina Panthers / 7th / 250th pick / 2008","dal",2013
"15004",12,"RT","Doug Free",29,"6",16,"","Dallas Cowboys / 4th / 122nd pick / 2007","dal",2013
"15005",14,"DE","George Selvie",26,"3",16,"","St. Louis Rams / 7th / 226th pick / 2010","dal",2013
"15006",15,"DE","DeMarcus Ware",31,"8",13,"","Dallas Cowboys / 1st / 11th pick / 2005","dal",2013
"15007",16,"DT","Jason Hatcher*",31,"7",15,"","Dallas Cowboys / 3rd / 92nd pick / 2006","dal",2013
"15008",17,"DT","Nick Hayden",27,"5",16,"","Carolina Panthers / 6th / 181st pick / 2008","dal",2013
