"","X","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr.","team_abbr","year"
"1",2,"QB","Steve Grogan",22,"Rook",7,"139 for 274, 1,976 yards, 11 td, 18 int, & 30 rushes for 110 yards and 3 td","New England Patriots / 5th / 116th pick / 1975","nwe",1975
"2",3,"RB","Andy Johnson",23,"1",9,"117 rushes for 488 yards, 3 td, & 26 catches for 294 yards and 1 td","New England Patriots / 5th / 112th pick / 1974","nwe",1975
"3",4,"FB","Sam Cunningham",25,"2",13,"169 rushes for 666 yards, 6 td, & 32 catches for 253 yards and 2 td","New England Patriots / 1st / 11th pick / 1973","nwe",1975
"4",5,"WR","Darryl Stingley",24,"2",14,"21 catches for 378 yards, 2 td, & 6 rushes for 39 yards and 0 td","New England Patriots / 1st / 19th pick / 1973","nwe",1975
"5",6,"WR","Randy Vataha",27,"4",14,"46 catches for 720 yards, 6 td, & 1 rush for 4 yards and 0 td","Los Angeles Rams / 17th / 418th pick / 1971","nwe",1975
"6",7,"TE","Russ Francis",22,"Rook",11,"35 catches for 636 yards, 4 td","New England Patriots / 1st / 16th pick / 1975","nwe",1975
"7",8,"LT","Leon Gray",24,"2",14,"2 fumbles recovered","Miami Dolphins / 3rd / 78th pick / 1973","nwe",1975
"8",9,"LG","John Hannah",24,"2",14,"","New England Patriots / 1st / 4th pick / 1973","nwe",1975
"9",10,"C","Bill Lenkaitis",29,"7",11,"2 fumbles recovered","San Diego Chargers / 2nd / 43rd pick / 1968","nwe",1975
"10",11,"RG","Sam Adams",27,"3",13,"","","nwe",1975
"11",12,"RT","Shelby Jordan",23,"Rook",14,"2 fumbles recovered","Houston Oilers / 7th / 157th pick / 1973","nwe",1975
"12",14,"LDE","Tony McGee",26,"4",10,"","Chicago Bears / 3rd / 64th pick / 1971","nwe",1975
"13",15,"NT","Ray Hamilton",24,"2",14,"0 interceptions, 2 fumbles recovered","New England Patriots / 14th / 342nd pick / 1973","nwe",1975
"14",16,"RDE","Julius Adams",27,"4",8,"","New England Patriots / 2nd / 27th pick / 1971","nwe",1975
"15",17,"LOLB","George Webster",30,"8",10,"1 interception, 0 fumbles recovered","Houston Oilers / 1st / 5th pick / 1967","nwe",1975
"16",18,"LILB","Steve Nelson",24,"1",14,"2 interceptions, 0 fumbles recovered","New England Patriots / 2nd / 34th pick / 1974","nwe",1975
"17",19,"RILB","Sam Hunt",24,"1",13,"0 interceptions, 3 fumbles recovered","New England Patriots / 15th / 374th pick / 1974","nwe",1975
"18",20,"ROLB","Steve Zabel",27,"5",9,"0 interceptions, 1 fumble recovered","Philadelphia Eagles / 1st / 6th pick / 1970","nwe",1975
"19",21,"LCB","Bob Howard",31,"8",14,"3 interceptions, 1 fumble recovered","San Diego Chargers / 2nd / 48th pick / 1967","nwe",1975
"20",22,"RCB","Ron Bolton",25,"3",13,"5 interceptions, 0 fumbles recovered","New England Patriots / 5th / 124th pick / 1972","nwe",1975
"21",23,"SS","Prentice McCray",24,"1",14,"","Detroit Lions / 8th / 200th pick / 1973","nwe",1975
"22",24,"FS","John Sanders",25,"1",14,"1 interception, 4 fumbles recovered","","nwe",1975
"23",26,"K","John Smith",26,"1",0,"9 of 17 field goals & 33 of 33 extra points","","nwe",1975
"24",27,"P","Mike Patrick",23,"Rook",0,"83 punts for a 38.8 average, 0 blocked","","nwe",1975
"25",28,"PR","Darryl Stingley",24,"2",14,"15 punt returns for a 7.5 average and 0 td","New England Patriots / 1st / 19th pick / 1973","nwe",1975
"26",29,"KR","Allen Carter",23,"Rook",0,"32 kick returns for a 27.5 average and 1 td","New England Patriots / 4th / 86th pick / 1975","nwe",1975
"27",2,"QB","Steve Grogan",23,"1",14,"145 for 302, 1,903 yards, 18 td, 20 int, & 60 rushes for 397 yards and 12 td","New England Patriots / 5th / 116th pick / 1975","nwe",1976
"28",3,"RB","Andy Johnson",24,"2",13,"169 rushes for 699 yards, 6 td, & 29 catches for 343 yards and 4 td","New England Patriots / 5th / 112th pick / 1974","nwe",1976
"29",4,"FB","Sam Cunningham",26,"3",11,"172 rushes for 824 yards, 3 td, & 27 catches for 299 yards and 0 td","New England Patriots / 1st / 11th pick / 1973","nwe",1976
"30",5,"WR","Darryl Stingley",25,"3",13,"17 catches for 370 yards, 4 td, & 8 rushes for 45 yards and 0 td","New England Patriots / 1st / 19th pick / 1973","nwe",1976
"31",6,"WR","Randy Vataha",28,"5",8,"11 catches for 192 yards, 1 td","Los Angeles Rams / 17th / 418th pick / 1971","nwe",1976
"32",7,"TE","Russ Francis*",23,"1",12,"26 catches for 367 yards, 3 td, & 2 rushes for 12 yards and 0 td","New England Patriots / 1st / 16th pick / 1975","nwe",1976
"33",8,"LT","Leon Gray*",25,"3",14,"1 fumble recovered","Miami Dolphins / 3rd / 78th pick / 1973","nwe",1976
"34",9,"LG","John Hannah*+",25,"3",14,"","New England Patriots / 1st / 4th pick / 1973","nwe",1976
"35",10,"C","Bill Lenkaitis",30,"8",14,"","San Diego Chargers / 2nd / 43rd pick / 1968","nwe",1976
"36",11,"RG","Sam Adams",28,"4",14,"","","nwe",1976
"37",12,"RT","Bob McKay",29,"6",14,"","Cleveland Browns / 1st / 21st pick / 1970","nwe",1976
"38",14,"LDE","Tony McGee",27,"5",13,"","Chicago Bears / 3rd / 64th pick / 1971","nwe",1976
"39",15,"NT","Ray Hamilton",25,"3",14,"0 interceptions, 2 fumbles recovered","New England Patriots / 14th / 342nd pick / 1973","nwe",1976
"40",16,"RDE","Julius Adams",28,"5",14,"","New England Patriots / 2nd / 27th pick / 1971","nwe",1976
"41",17,"LOLB","Steve Zabel",28,"6",14,"0 interceptions, 3 fumbles recovered","Philadelphia Eagles / 1st / 6th pick / 1970","nwe",1976
"42",18,"LILB","Steve Nelson",25,"2",10,"2 interceptions, 3 fumbles recovered","New England Patriots / 2nd / 34th pick / 1974","nwe",1976
"43",19,"RILB","Sam Hunt",25,"2",12,"2 interceptions, 2 fumbles recovered","New England Patriots / 15th / 374th pick / 1974","nwe",1976
"44",20,"ROLB","Steve King",25,"3",7,"","","nwe",1976
"45",21,"LCB","Bob Howard",32,"9",14,"3 interceptions, 0 fumbles recovered","San Diego Chargers / 2nd / 48th pick / 1967","nwe",1976
"46",22,"RCB","Mike Haynes*",23,"Rook",14,"8 interceptions, 3 fumbles recovered","New England Patriots / 1st / 5th pick / 1976","nwe",1976
"47",23,"SS","Prentice McCray",25,"2",14,"5 interceptions, 2 fumbles recovered","Detroit Lions / 8th / 200th pick / 1973","nwe",1976
"48",24,"FS","Tim Fox",23,"Rook",13,"3 interceptions, 4 fumbles recovered","New England Patriots / 1st / 21st pick / 1976","nwe",1976
"49",26,"K","John Smith",27,"2",0,"15 of 25 field goals & 42 of 46 extra points","","nwe",1976
"50",27,"P","Mike Patrick",24,"1",0,"67 punts for a 40.1 average, 0 blocked","","nwe",1976
"51",28,"PR","Mike Haynes*",23,"Rook",14,"45 punt returns for a 13.5 average and 2 td","New England Patriots / 1st / 5th pick / 1976","nwe",1976
"52",29,"KR","Jess Phillips",29,"8",0,"14 kick returns for a 28.4 average and 0 td","Cincinnati Bengals / 4th / 84th pick / 1968","nwe",1976
"53",2,"QB","Steve Grogan",24,"2",14,"160 for 305, 2,162 yards, 17 td, 21 int, & 61 rushes for 324 yards and 1 td","New England Patriots / 5th / 116th pick / 1975","nwe",1977
"54",3,"RB","Don Calhoun",25,"3",14,"198 rushes for 727 yards, 4 td, & 13 catches for 152 yards and 0 td","Buffalo Bills / 10th / 249th pick / 1974","nwe",1977
"55",4,"FB","Sam Cunningham",27,"4",14,"270 rushes for 1,015 yards, 4 td, & 42 catches for 370 yards and 1 td","New England Patriots / 1st / 11th pick / 1973","nwe",1977
"56",5,"WR","Stanley Morgan",22,"Rook",14,"21 catches for 443 yards, 3 td, & 1 rush for 10 yards and 0 td","New England Patriots / 1st / 25th pick / 1977","nwe",1977
"57",6,"WR","Darryl Stingley",26,"4",14,"39 catches for 657 yards, 5 td, & 3 rushes for 33 yards and 1 td","New England Patriots / 1st / 19th pick / 1973","nwe",1977
"58",7,"TE","Russ Francis*",24,"2",10,"16 catches for 229 yards, 4 td","New England Patriots / 1st / 16th pick / 1975","nwe",1977
"59",8,"LT","Leon Gray",26,"4",11,"","Miami Dolphins / 3rd / 78th pick / 1973","nwe",1977
"60",9,"LG","John Hannah",26,"4",11,"","New England Patriots / 1st / 4th pick / 1973","nwe",1977
"61",10,"C","Bill Lenkaitis",31,"9",14,"","San Diego Chargers / 2nd / 43rd pick / 1968","nwe",1977
"62",11,"RG","Sam Adams",29,"5",13,"1 fumble recovered","","nwe",1977
"63",12,"RT","Tom Neville",34,"12",11,"","Boston Patriots / 7th / 55th pick / 1965, Pittsburgh Steelers / 9th / 115th pick / 1965","nwe",1977
"64",14,"LDE","Mel Lunsford",27,"4",13,"","Oakland Raiders / 3rd / 72nd pick / 1972","nwe",1977
"65",15,"NT","Ray Hamilton",26,"4",14,"0 interceptions, 2 fumbles recovered","New England Patriots / 14th / 342nd pick / 1973","nwe",1977
"66",16,"RDE","Julius Adams",29,"6",14,"","New England Patriots / 2nd / 27th pick / 1971","nwe",1977
"67",17,"LOLB","Steve Zabel",29,"7",10,"0 interceptions, 1 fumble recovered","Philadelphia Eagles / 1st / 6th pick / 1970","nwe",1977
"68",18,"LILB","Steve Nelson",26,"3",13,"0 interceptions, 1 fumble recovered","New England Patriots / 2nd / 34th pick / 1974","nwe",1977
"69",19,"RILB","Sam Hunt",26,"3",13,"2 interceptions, 0 fumbles recovered","New England Patriots / 15th / 374th pick / 1974","nwe",1977
"70",20,"ROLB","Pete Barnes",32,"10",11,"1 interception, 1 fumble recovered","Houston Oilers / 6th / 136th pick / 1967","nwe",1977
"71",21,"LCB","Bob Howard",33,"10",12,"4 interceptions, 0 fumbles recovered","San Diego Chargers / 2nd / 48th pick / 1967","nwe",1977
"72",22,"RCB","Mike Haynes*",24,"1",14,"5 interceptions, 2 fumbles recovered","New England Patriots / 1st / 5th pick / 1976","nwe",1977
"73",23,"SS","Prentice McCray",26,"3",14,"4 interceptions, 1 fumble recovered","Detroit Lions / 8th / 200th pick / 1973","nwe",1977
"74",24,"FS","Tim Fox",24,"1",14,"3 interceptions, 1 fumble recovered","New England Patriots / 1st / 21st pick / 1976","nwe",1977
"75",26,"K","John Smith",28,"3",0,"15 of 21 field goals & 33 of 33 extra points","","nwe",1977
"76",27,"P","Mike Patrick",25,"2",0,"65 punts for a 36.2 average, 3 blocked","","nwe",1977
"77",28,"PR","Mike Haynes*",24,"1",14,"24 punt returns for a 8.3 average and 0 td","New England Patriots / 1st / 5th pick / 1976","nwe",1977
"78",29,"KR","Raymond Clayborn",22,"Rook",2,"28 kick returns for a 31.0 average and 3 td","New England Patriots / 1st / 16th pick / 1977","nwe",1977
"79",2,"QB","Steve Grogan",25,"3",16,"181 for 362, 2,824 yards, 15 td, 23 int, & 81 rushes for 539 yards and 5 td","New England Patriots / 5th / 116th pick / 1975","nwe",1978
"80",3,"RB","Andy Johnson",26,"4",13,"147 rushes for 675 yards, 3 td, & 26 catches for 267 yards and 0 td","New England Patriots / 5th / 112th pick / 1974","nwe",1978
"81",4,"FB","Sam Cunningham*",28,"5",14,"199 rushes for 768 yards, 8 td, & 31 catches for 297 yards and 0 td","New England Patriots / 1st / 11th pick / 1973","nwe",1978
"82",5,"WR","Harold Jackson",32,"10",13,"37 catches for 743 yards, 6 td, & 1 rush for 7 yards and 0 td","Los Angeles Rams / 12th / 323rd pick / 1968","nwe",1978
"83",6,"WR","Stanley Morgan",23,"1",16,"34 catches for 820 yards, 5 td, & 2 rushes for 11 yards and 0 td","New England Patriots / 1st / 25th pick / 1977","nwe",1978
"84",7,"TE","Russ Francis*",25,"3",15,"39 catches for 543 yards, 4 td","New England Patriots / 1st / 16th pick / 1975","nwe",1978
"85",8,"LT","Leon Gray*+",27,"5",16,"","Miami Dolphins / 3rd / 78th pick / 1973","nwe",1978
"86",9,"LG","John Hannah*+",27,"5",16,"2 fumbles recovered","New England Patriots / 1st / 4th pick / 1973","nwe",1978
"87",10,"C","Bill Lenkaitis",32,"10",16,"","San Diego Chargers / 2nd / 43rd pick / 1968","nwe",1978
"88",11,"RG","Sam Adams",30,"6",16,"","","nwe",1978
"89",12,"RT","Shelby Jordan",26,"3",16,"","Houston Oilers / 7th / 157th pick / 1973","nwe",1978
"90",14,"LDE","Mel Lunsford",28,"5",15,"","Oakland Raiders / 3rd / 72nd pick / 1972","nwe",1978
"91",15,"NT","Ray Hamilton",27,"5",16,"0 interceptions, 3 fumbles recovered","New England Patriots / 14th / 342nd pick / 1973","nwe",1978
"92",16,"RDE","Richard Bishop",28,"2",15,"0 interceptions, 2 fumbles recovered","Cincinnati Bengals / 5th / 127th pick / 1974","nwe",1978
"93",17,"LOLB","Steve Zabel",30,"8",11,"1 interception, 3 fumbles recovered","Philadelphia Eagles / 1st / 6th pick / 1970","nwe",1978
"94",18,"LILB","Steve Nelson",27,"4",14,"5 interceptions, 4 fumbles recovered","New England Patriots / 2nd / 34th pick / 1974","nwe",1978
"95",19,"RILB","Sam Hunt",27,"4",15,"","New England Patriots / 15th / 374th pick / 1974","nwe",1978
"96",20,"ROLB","Rod Shoate",25,"3",15,"0 interceptions, 3 fumbles recovered","New England Patriots / 2nd / 41st pick / 1975","nwe",1978
"97",21,"LCB","Raymond Clayborn",23,"1",16,"4 interceptions, 1 fumble recovered","New England Patriots / 1st / 16th pick / 1977","nwe",1978
"98",22,"RCB","Mike Haynes*",25,"2",16,"6 interceptions, 0 fumbles recovered","New England Patriots / 1st / 5th pick / 1976","nwe",1978
"99",23,"SS","Doug Beaudoin",24,"2",13,"3 interceptions, 0 fumbles recovered","New England Patriots / 9th / 243rd pick / 1976","nwe",1978
"100",24,"FS","Tim Fox",25,"2",16,"2 interceptions, 1 fumble recovered","New England Patriots / 1st / 21st pick / 1976","nwe",1978
"101",26,"K","David Posey",22,"Rook",0,"11 of 22 field goals & 29 of 31 extra points","San Francisco 49ers / 9th / 239th pick / 1977","nwe",1978
"102",27,"P","Jerrel Wilson",37,"15",0,"54 punts for a 35.6 average, 0 blocked","Kansas City Chiefs / 11th / 88th pick / 1963, Los Angeles Rams / 17th / 225th pick / 1963","nwe",1978
"103",28,"PR","Stanley Morgan",23,"1",16,"32 punt returns for a 10.5 average and 0 td","New England Patriots / 1st / 25th pick / 1977","nwe",1978
"104",29,"KR","Raymond Clayborn",23,"1",16,"27 kick returns for a 23.6 average and 0 td","New England Patriots / 1st / 16th pick / 1977","nwe",1978
"105",2,"QB","Steve Grogan",26,"4",16,"206 for 423, 3,286 yards, 28 td, 20 int, & 64 rushes for 368 yards and 2 td","New England Patriots / 5th / 116th pick / 1975","nwe",1979
"106",3,"RB","Horace Ivory",25,"2",9,"143 rushes for 522 yards, 1 td, & 23 catches for 216 yards and 2 td","New England Patriots / 2nd / 44th pick / 1977","nwe",1979
"107",4,"FB","Sam Cunningham",29,"6",12,"159 rushes for 563 yards, 5 td, & 29 catches for 236 yards and 0 td","New England Patriots / 1st / 11th pick / 1973","nwe",1979
"108",5,"WR","Harold Jackson",33,"11",16,"45 catches for 1,013 yards, 7 td, & 3 rushes for 12 yards and 0 td","Los Angeles Rams / 12th / 323rd pick / 1968","nwe",1979
"109",6,"WR","Stanley Morgan*",24,"2",16,"44 catches for 1,002 yards, 12 td, & 7 rushes for 39 yards and 0 td","New England Patriots / 1st / 25th pick / 1977","nwe",1979
"110",7,"TE","Russ Francis",26,"4",12,"39 catches for 557 yards, 5 td","New England Patriots / 1st / 16th pick / 1975","nwe",1979
"111",8,"LT","Dwight Wheeler",24,"1",10,"","New England Patriots / 4th / 102nd pick / 1978","nwe",1979
"112",9,"LG","John Hannah*+",28,"6",16,"1 fumble recovered","New England Patriots / 1st / 4th pick / 1973","nwe",1979
"113",10,"C","Bill Lenkaitis",33,"11",16,"1 fumble recovered","San Diego Chargers / 2nd / 43rd pick / 1968","nwe",1979
"114",11,"RG","Sam Adams",31,"7",13,"","","nwe",1979
"115",12,"RT","Shelby Jordan",27,"4",13,"1 fumble recovered","Houston Oilers / 7th / 157th pick / 1973","nwe",1979
"116",14,"LDE","Mel Lunsford",29,"6",16,"0 interceptions, 2 fumbles recovered","Oakland Raiders / 3rd / 72nd pick / 1972","nwe",1979
"117",15,"NT","Ray Hamilton",28,"6",16,"","New England Patriots / 14th / 342nd pick / 1973","nwe",1979
"118",16,"RDE","Richard Bishop",29,"3",14,"0 interceptions, 1 fumble recovered","Cincinnati Bengals / 5th / 127th pick / 1974","nwe",1979
"119",17,"LOLB","Mike Hawkins",24,"1",14,"2 interceptions, 0 fumbles recovered","New England Patriots / 7th / 188th pick / 1978","nwe",1979
"120",18,"LILB","Steve Nelson",28,"5",15,"1 interception, 1 fumble recovered","New England Patriots / 2nd / 34th pick / 1974","nwe",1979
"121",19,"RILB","Sam Hunt",28,"5",15,"0 interceptions, 1 fumble recovered","New England Patriots / 15th / 374th pick / 1974","nwe",1979
"122",20,"ROLB","Rod Shoate",26,"4",14,"1 interception, 1 fumble recovered","New England Patriots / 2nd / 41st pick / 1975","nwe",1979
"123",21,"LCB","Raymond Clayborn",24,"2",16,"5 interceptions, 0 fumbles recovered","New England Patriots / 1st / 16th pick / 1977","nwe",1979
"124",22,"RCB","Mike Haynes*",26,"3",15,"3 interceptions, 3 fumbles recovered","New England Patriots / 1st / 5th pick / 1976","nwe",1979
"125",23,"SS","Doug Beaudoin",25,"3",7,"1 interception, 2 fumbles recovered","New England Patriots / 9th / 243rd pick / 1976","nwe",1979
"126",24,"FS","Tim Fox",26,"3",16,"2 interceptions, 1 fumble recovered","New England Patriots / 1st / 21st pick / 1976","nwe",1979
"127",26,"K","John Smith",30,"5",0,"23 of 33 field goals & 46 of 49 extra points","","nwe",1979
"128",27,"P","Eddie Hare",22,"Rook",0,"83 punts for a 36.6 average, 1 blocked","New England Patriots / 4th / 106th pick / 1979","nwe",1979
"129",28,"PR","Stanley Morgan*",24,"2",16,"29 punt returns for a 10.0 average and 1 td","New England Patriots / 1st / 25th pick / 1977","nwe",1979
"130",29,"KR","Allan Clark",22,"Rook",0,"37 kick returns for a 22.1 average and 0 td","New England Patriots / 10th / 271st pick / 1979","nwe",1979
"131",2,"QB","Steve Grogan",27,"5",12,"175 for 306, 2,475 yards, 18 td, 22 int, & 30 rushes for 112 yards and 1 td","New England Patriots / 5th / 116th pick / 1975","nwe",1980
"132",3,"RB","Vagas Ferguson",23,"Rook",16,"211 rushes for 818 yards, 2 td, & 22 catches for 173 yards and 0 td","New England Patriots / 1st / 25th pick / 1980","nwe",1980
"133",4,"FB","Don Calhoun",28,"6",16,"200 rushes for 787 yards, 9 td, & 27 catches for 129 yards and 0 td","Buffalo Bills / 10th / 249th pick / 1974","nwe",1980
"134",5,"WR","Harold Jackson",34,"12",15,"35 catches for 737 yards, 5 td, & 5 rushes for 37 yards and 0 td","Los Angeles Rams / 12th / 323rd pick / 1968","nwe",1980
"135",6,"WR","Stanley Morgan*",25,"3",16,"45 catches for 991 yards, 6 td, & 4 rushes for 36 yards and 0 td","New England Patriots / 1st / 25th pick / 1977","nwe",1980
"136",7,"TE","Russ Francis",27,"5",15,"41 catches for 664 yards, 8 td","New England Patriots / 1st / 16th pick / 1975","nwe",1980
"137",8,"LT","Dwight Wheeler",25,"2",16,"","New England Patriots / 4th / 102nd pick / 1978","nwe",1980
"138",9,"LG","John Hannah*+",29,"7",16,"","New England Patriots / 1st / 4th pick / 1973","nwe",1980
"139",10,"C","Bill Lenkaitis",34,"12",16,"","San Diego Chargers / 2nd / 43rd pick / 1968","nwe",1980
"140",11,"RG","Sam Adams",32,"8",14,"1 fumble recovered","","nwe",1980
"141",12,"RT","Shelby Jordan",28,"5",16,"","Houston Oilers / 7th / 157th pick / 1973","nwe",1980
"142",14,"LDE","Mel Lunsford",30,"7",12,"","Oakland Raiders / 3rd / 72nd pick / 1972","nwe",1980
"143",15,"NT","Ray Hamilton",29,"7",15,"0 interceptions, 1 fumble recovered","New England Patriots / 14th / 342nd pick / 1973","nwe",1980
"144",16,"RDE","Julius Adams*",32,"9",16,"","New England Patriots / 2nd / 27th pick / 1971","nwe",1980
"145",17,"LOLB","Mike Hawkins",25,"2",16,"2 interceptions, 0 fumbles recovered","New England Patriots / 7th / 188th pick / 1978","nwe",1980
"146",18,"LILB","Steve Nelson*",29,"6",16,"3 interceptions, 1 fumble recovered","New England Patriots / 2nd / 34th pick / 1974","nwe",1980
"147",19,"RILB","John Zamberlin",24,"1",13,"","New England Patriots / 5th / 135th pick / 1979","nwe",1980
"148",20,"ROLB","Rod Shoate",27,"5",16,"3 interceptions, 1 fumble recovered","New England Patriots / 2nd / 41st pick / 1975","nwe",1980
"149",21,"LCB","Raymond Clayborn",25,"3",16,"5 interceptions, 1 fumble recovered","New England Patriots / 1st / 16th pick / 1977","nwe",1980
"150",22,"RCB","Mike Haynes*",27,"4",12,"1 interception, 3 fumbles recovered","New England Patriots / 1st / 5th pick / 1976","nwe",1980
"151",23,"SS","Roland James",22,"Rook",10,"4 interceptions, 1 fumble recovered","New England Patriots / 1st / 14th pick / 1980","nwe",1980
"152",24,"FS","Tim Fox*",27,"4",16,"4 interceptions, 0 fumbles recovered","New England Patriots / 1st / 21st pick / 1976","nwe",1980
"153",26,"K","John Smith*",31,"6",0,"26 of 34 field goals & 51 of 51 extra points","","nwe",1980
"154",27,"P","Mike Hubach",22,"Rook",0,"63 punts for a 38.0 average, 0 blocked","New England Patriots / 11th / 293rd pick / 1980","nwe",1980
"155",28,"PR","Roland James",22,"Rook",10,"33 punt returns for a 10.0 average and 1 td","New England Patriots / 1st / 14th pick / 1980","nwe",1980
"156",29,"KR","Horace Ivory",26,"3",0,"36 kick returns for a 27.6 average and 1 td","New England Patriots / 2nd / 44th pick / 1977","nwe",1980
"157",2,"QB","Matt Cavanaugh",25,"2",8,"115 for 219, 1,633 yards, 5 td, 13 int, & 17 rushes for 92 yards and 3 td","New England Patriots / 2nd / 50th pick / 1978","nwe",1981
"158",3,"RB","Tony Collins",22,"Rook",11,"204 rushes for 873 yards, 7 td, & 26 catches for 232 yards and 0 td","New England Patriots / 2nd / 47th pick / 1981","nwe",1981
"159",4,"FB","Sam Cunningham",31,"8",8,"86 rushes for 269 yards, 4 td, & 12 catches for 92 yards and 0 td","New England Patriots / 1st / 11th pick / 1973","nwe",1981
"160",5,"WR","Harold Jackson",35,"13",15,"39 catches for 669 yards, 0 td, & 2 rushes for -14 yards and 0 td","Los Angeles Rams / 12th / 323rd pick / 1968","nwe",1981
"161",6,"WR","Stanley Morgan",26,"4",13,"44 catches for 1,029 yards, 6 td, & 2 rushes for 21 yards and 0 td","New England Patriots / 1st / 25th pick / 1977","nwe",1981
"162",7,"TE","Don Hasselbeck",26,"4",14,"46 catches for 808 yards, 6 td","New England Patriots / 2nd / 52nd pick / 1977","nwe",1981
"163",8,"LT","Dwight Wheeler",26,"3",11,"","New England Patriots / 4th / 102nd pick / 1978","nwe",1981
"164",9,"LG","John Hannah*+",30,"8",16,"2 fumbles recovered","New England Patriots / 1st / 4th pick / 1973","nwe",1981
"165",10,"C","Pete Brock",27,"5",16,"1 fumble recovered","New England Patriots / 1st / 12th pick / 1976","nwe",1981
"166",11,"RG","Bob Cryder",25,"3",15,"","New England Patriots / 1st / 18th pick / 1978","nwe",1981
"167",12,"RT","Shelby Jordan",29,"6",16,"","Houston Oilers / 7th / 157th pick / 1973","nwe",1981
"168",14,"LDE","Tony McGee",32,"10",9,"0 interceptions, 1 fumble recovered","Chicago Bears / 3rd / 64th pick / 1971","nwe",1981
"169",15,"NT","Richard Bishop",31,"5",16,"","Cincinnati Bengals / 5th / 127th pick / 1974","nwe",1981
"170",16,"RDE","Julius Adams",33,"10",16,"","New England Patriots / 2nd / 27th pick / 1971","nwe",1981
"171",17,"LOLB","Mike Hawkins",26,"3",15,"1 interception, 2 fumbles recovered","New England Patriots / 7th / 188th pick / 1978","nwe",1981
"172",18,"LILB","Steve Nelson",30,"7",12,"","New England Patriots / 2nd / 34th pick / 1974","nwe",1981
"173",19,"RILB","Bill Matthews",25,"2",9,"0 interceptions, 1 fumble recovered","New England Patriots / 5th / 129th pick / 1978","nwe",1981
"174",20,"ROLB","Rod Shoate",28,"6",16,"1 interception, 2 fumbles recovered","New England Patriots / 2nd / 41st pick / 1975","nwe",1981
"175",21,"LCB","Raymond Clayborn",26,"4",16,"2 interceptions, 2 fumbles recovered","New England Patriots / 1st / 16th pick / 1977","nwe",1981
"176",22,"RCB","Mike Haynes",28,"5",6,"1 interception, 0 fumbles recovered","New England Patriots / 1st / 5th pick / 1976","nwe",1981
"177",23,"SS","Rick Sanford",24,"2",14,"3 interceptions, 3 fumbles recovered","New England Patriots / 1st / 25th pick / 1979","nwe",1981
"178",24,"FS","Tim Fox",28,"5",16,"3 interceptions, 0 fumbles recovered","New England Patriots / 1st / 21st pick / 1976","nwe",1981
"179",26,"K","John Smith",32,"7",0,"15 of 24 field goals & 37 of 39 extra points","","nwe",1981
"180",27,"P","Rich Camarillo",22,"Rook",0,"47 punts for a 41.7 average, 0 blocked","","nwe",1981
"181",28,"PR","Stanley Morgan",26,"4",13,"15 punt returns for a 7.7 average and 0 td","New England Patriots / 1st / 25th pick / 1977","nwe",1981
"182",29,"KR","Tony Collins",22,"Rook",11,"39 kick returns for a 19.8 average and 0 td","New England Patriots / 2nd / 47th pick / 1981","nwe",1981
"183",2,"QB","Steve Grogan",29,"7",6,"66 for 122, 930 yards, 7 td, 4 int, & 9 rushes for 42 yards and 1 td","New England Patriots / 5th / 116th pick / 1975","nwe",1982
"184",3,"RB","Tony Collins",23,"1",9,"164 rushes for 632 yards, 1 td, & 19 catches for 187 yards and 2 td","New England Patriots / 2nd / 47th pick / 1981","nwe",1982
"185",4,"FB","Mark van Eeghen",30,"8",5,"82 rushes for 386 yards, 0 td, & 2 catches for 14 yards and 1 td","Oakland Raiders / 3rd / 75th pick / 1974","nwe",1982
"186",5,"WR","Morris Bradshaw",30,"8",5,"6 catches for 111 yards, 1 td","Oakland Raiders / 4th / 93rd pick / 1974","nwe",1982
"187",6,"WR","Stanley Morgan",27,"5",9,"28 catches for 584 yards, 3 td, & 2 rushes for 3 yards and 0 td","New England Patriots / 1st / 25th pick / 1977","nwe",1982
"188",7,"TE","Don Hasselbeck",27,"5",5,"15 catches for 158 yards, 1 td","New England Patriots / 2nd / 52nd pick / 1977","nwe",1982
"189",8,"LT","Brian Holloway",23,"1",9,"","New England Patriots / 1st / 19th pick / 1981","nwe",1982
"190",9,"LG","John Hannah*",31,"9",8,"","New England Patriots / 1st / 4th pick / 1973","nwe",1982
"191",10,"C","Pete Brock",28,"6",9,"1 fumble recovered","New England Patriots / 1st / 12th pick / 1976","nwe",1982
"192",11,"RG","Ron Wooten",23,"Rook",7,"","New England Patriots / 6th / 157th pick / 1981","nwe",1982
"193",12,"RT","Shelby Jordan",30,"7",9,"","Houston Oilers / 7th / 157th pick / 1973","nwe",1982
"194",14,"LDE","Kenneth Sims",23,"Rook",9,"3.0 sacks, 0 interceptions, 0 fumbles recovered","New England Patriots / 1st / 1st pick / 1982","nwe",1982
"195",15,"NT","Lester Williams",23,"Rook",9,"2.0 sacks, 0 interceptions, 1 fumble recovered","New England Patriots / 1st / 27th pick / 1982","nwe",1982
"196",16,"RDE","Julius Adams",34,"11",9,"2.0 sacks, 0 interceptions, 1 fumble recovered","New England Patriots / 2nd / 27th pick / 1971","nwe",1982
"197",17,"LOLB","Larry McGrew",25,"2",8,"1.5 sacks, 0 interceptions, 0 fumbles recovered","New England Patriots / 2nd / 45th pick / 1980","nwe",1982
